# Hall C HV Backup
# Backup created:	2019-04-15 08:24:37
# Comment:	
#
# Detector: HMS Hodo 1 X
# chid	group	crate	slot	channel
h1x11+	1	2	0	10
h1x12+	1	2	0	11
h1x14+	1	2	0	13
h1x15+	1	2	0	14
h1x16-	1	2	0	15
h1x09+	1	2	2	14
h1x07-	1	2	1	6
h1x08-	1	2	1	7
h1x05-	1	2	1	4
h1x06-	1	2	1	5
h1x03-	1	2	1	2
h1x04-	1	2	1	3
h1x16+	1	2	1	0
h1x13+	1	2	1	1
h1x01-	1	2	2	11
h1x09-	1	2	1	8
h1x10-	1	2	1	9
h1x04+	1	2	0	3
h1x03+	1	2	0	2
h1x02+	1	2	0	1
h1x01+	1	2	0	0
h1x08+	1	2	0	7
h1x07+	1	2	0	6
h1x06+	1	2	0	5
h1x05+	1	2	0	4
h1x10+	1	2	0	9
h1x02-	1	2	0	8
h1x12-	1	2	1	11
h1x11-	1	2	1	10
h1x14-	1	2	1	13
h1x13-	1	2	1	12
h1x15-	1	2	1	14
#
# Detector: HMS Hodo 1 Y
# chid	group	crate	slot	channel
h1y02-	2	2	2	1
h1y01-	2	2	2	0
h1y04-	2	2	2	3
h1y03-	2	2	2	2
h1y06-	2	2	2	5
h1y03+	2	4	3	10
h1y08-	2	2	2	7
h1y07-	2	2	2	6
h1y05-	2	2	2	4
h1y09-	2	2	2	8
h1y10-	2	2	2	9
h1y09+	2	2	3	8
h1y10+	2	2	3	9
h1y05+	2	2	3	4
h1y06+	2	2	3	5
h1y07+	2	2	3	6
h1y08+	2	2	3	7
h1y01+	2	2	3	0
h1y02+	2	2	3	1
h1y04+	2	2	3	3
#
# Detector: HMS Hodo 2 X
# chid	group	crate	slot	channel
h2x07+	3	4	3	11
h2x11-	3	3	2	10
h2x15+	3	3	1	14
h2x16+	3	3	1	15
h2x16-	3	3	2	15
h2x14+	3	3	1	13
h2x11+	3	3	1	10
h2x12+	3	3	1	11
h2x03-	3	3	2	2
h2x15-	3	3	2	14
h2x12-	3	4	3	6
h2x07-	3	3	2	6
h2x08-	3	3	2	7
h2x05-	3	3	2	4
h2x10+	3	3	1	9
h2x09+	3	3	1	8
h2x06-	3	3	2	5
h2x09-	3	3	2	8
h2x10-	3	3	2	9
h2x02+	3	3	1	1
h2x01+	3	3	1	0
h2x04+	3	3	1	3
h2x03+	3	3	1	2
h2x06+	3	3	1	5
h2x05+	3	3	1	4
h2x08+	3	3	1	7
h2x04-	3	3	2	3
h2x01-	3	3	2	0
h2x13+	3	4	3	5
h2x13-	3	3	2	12
h2x14-	3	3	2	13
h2x02-	3	3	2	1
#
# Detector: HMS Hodo 2 Y
# chid	group	crate	slot	channel
h2y10-	4	3	3	9
h2y01-	4	3	3	0
h2y09-	4	3	3	8
h2y02-	4	4	3	13
h2y06+	4	3	3	10
h2y07+	4	3	3	11
h2y08+	4	3	3	12
h2y09+	4	3	3	13
h2y10+	4	3	3	14
h2y07-	4	3	3	6
h2y06-	4	3	3	5
h2y05-	4	3	3	4
h2y04-	4	3	3	3
h2y08-	4	3	3	7
h2y03-	4	3	3	2
h2y05+	4	2	3	14
h2y04+	4	2	3	13
h2y03+	4	2	3	12
h2y02+	4	2	3	11
h2y01+	4	2	3	10
#
# Detector: HMS Drift Chambers
# chid	group	crate	slot	channel
HDC2_cathode	5	1	0	3
HDC1_cathode	5	1	0	1
#
# Detector: HMS Shower Counter A
# chid	group	crate	slot	channel
hC13	7	4	2	4
hC12	7	4	2	3
hC11	7	4	2	2
hC10	7	4	2	1
hC09	7	4	2	0
hA06	7	4	0	5
hA05	7	4	0	4
hA08	7	4	0	7
hA07	7	4	0	6
hA02	7	4	0	1
hA04	7	4	0	3
hA03	7	4	0	2
hA10	7	4	0	9
hA09	7	4	0	8
hC06	7	4	1	13
hC05	7	4	1	12
hC04	7	4	1	11
hC03	7	4	1	10
hC08	7	4	1	15
hC07	7	4	1	14
hB01	7	4	3	2
hC01	7	4	3	3
hA01	7	4	3	1
hA13	7	4	0	12
hB02	7	4	0	13
hA11	7	4	0	10
hA12	7	4	0	11
hB03	7	4	0	14
hB04	7	4	0	15
hB05	7	4	1	0
hB06	7	4	1	1
hB07	7	4	1	2
hB08	7	4	1	3
hB09	7	4	1	4
hB10	7	4	1	5
hB11	7	4	1	6
hB12	7	4	1	7
hB13	7	4	1	8
hC02	7	4	1	9
#
# Detector: HMS Shower Counter B
# chid	group	crate	slot	channel
hD04	8	4	2	7
hD03	8	4	2	6
hD02	8	4	2	5
hB01-	8	5	1	0
hB08-	8	5	1	7
hB07-	8	5	1	6
hB06-	8	5	1	5
hD13	8	4	3	12
hB10-	8	5	1	9
hB09-	8	5	1	8
hB02-	8	5	1	1
hD06	8	4	2	9
hD05	8	4	2	8
hB03-	8	5	1	2
hA11-	8	5	0	11
hA10-	8	5	0	10
hA13-	8	5	0	13
hA12-	8	5	0	12
hB12-	8	5	1	11
hB05-	8	5	1	4
hD11	8	4	2	14
hD12	8	4	2	15
hB13-	8	5	1	12
hD07	8	4	2	10
hD08	8	4	2	11
hD09	8	4	2	12
hD10	8	4	2	13
hD01	8	4	3	4
hA06-	8	5	0	6
hA07-	8	5	0	7
hA04-	8	5	0	4
hA05-	8	5	0	5
hA02-	8	5	0	2
hA03-	8	5	0	3
hA01-	8	5	0	1
hB11-	8	5	1	10
hA08-	8	5	0	8
hA09-	8	5	0	9
hB04-	8	5	1	3
#
# Detector: HMS Cherenkov and Aerogel
# chid	group	crate	slot	channel
hCER1	9	3	0	1
hCER2	9	3	0	2
#
# Detector: SHMS Hodo 1 X
# chid	group	crate	slot	channel
s1x02+(L)	11	14	0	14
s1x03+(L)	11	14	0	15
